Employee ID,Department,Position,Date of Joining,Employment Status,Reason for Leaving,Tenure (years),Employee Satisfaction (out of 10),Engagement Score (out of 10),Salary,Benefits Package,Training Programs Attended,Career Development Plans,Work Environment Score (out of 10),Diversity Score (out of 10),Performance Ratings (out of 5),Performance Metrics,Gender,Age,Marital Status,Absenteeism (days/month),Target
1,Operations,Analyst,2016-12-14,Stay,,7,8,6,68868,"Health, Dental",5,No,8,9,3,0.771329989231039,Female,34,Divorced,3.381874759809041,0
2,HR,Manager,2018-01-14,Stay,,6,6,9,116757,"Health, Dental, 401k",7,No,6,5,4,0.7449776773618157,Male,46,Divorced,1.7640770128514034,0
3,Finance,Developer,2018-05-22,Resign,Relocation,5,10,8,66418,"Health, 401k",2,Yes,8,5,3,0.9462811420946808,Male,48,Single,3.015997860796128,1
4,Finance,Administrator,2015-06-02,Stay,,8,6,5,88367,"Health, 401k",5,No,8,7,3,0.8512724226329658,Female,37,Married,1.4932672706818866,0
5,Finance,Sales Rep,2019-11-07,Stay,,4,10,9,101074,"Health, Dental",4,Yes,7,7,5,0.8343789268918795,Male,44,Divorced,3.5240376774118323,0
6,Sales,Analyst,2018-05-19,Resign,Personal Reasons,5,7,6,96436,"Health, Dental, 401k",1,No,10,6,3,0.9264526712574176,Male,57,Single,2.986680391518707,1
7,Finance,Analyst,2016-01-11,Stay,,8,8,9,103915,"Health, Dental",3,No,10,6,5,0.8412067631697762,Female,55,Single,3.622393217738219,0
8,IT,Analyst,2015-08-09,Stay,,8,8,7,56336,"Health, Dental",4,Yes,9,6,3,0.8835519549606818,Female,38,Divorced,3.743568297471371,0
9,Operations,Developer,2020-07-29,Stay,,3,8,8,59464,"Health, 401k",6,Yes,6,9,3,0.8218721776265754,Female,22,Single,3.632330011596152,0
10,HR,Administrator,2016-02-03,Stay,,8,9,6,108184,"Health, Dental, 401k",1,Yes,8,7,4,0.9662566825479253,Male,26,Single,4.362396355824517,0
11,HR,Analyst,2019-04-06,Stay,,4,6,7,65117,"Health, Dental",3,No,9,10,5,0.8696696917610807,Female,28,Divorced,4.809912072188132,0
12,Operations,Administrator,2019-08-19,Stay,,4,10,7,65984,"Health, 401k",5,Yes,7,8,5,0.9707533157758852,Male,52,Single,2.3396644678633067,0
